📊 รายงานผลการสแกนหุ้น SET100 (2026-08-04 05:38)
สรุปสัญญาณวันนี้: ซื้อ 32 | ขาย 50 | ถือ 59
=======================================================
   Symbol  Price  EMA14    Volume    VolMA5     MACD  Signal     CCI Status
      AAI   4.06   3.96  11243500   3903420   0.0585  0.0656  154.93 🟡 HOLD
   ADVANC 380.00 375.85   8410200   4981400   3.0504  3.6879   66.67 🟡 HOLD
    AMATA  29.00  27.80  22556400  10806140   0.4214  0.5093   53.47 🟡 HOLD
      AOT  63.75  63.51  20820500  21543780   0.7767  1.0109   14.33 🟡 HOLD
       AP   8.30   7.99  17850400   8392440   0.1798  0.1571  125.23  🟢 BUY
      AWC   2.96   2.86  95017900  90963180   0.1117  0.0930   95.79  🟢 BUY
      BAM   6.90   6.90  15866500  16604080   0.0715  0.0769  -14.96 🟡 HOLD
     BBGI   5.05   4.88   1399100   1067020   0.2143  0.2197   26.09 🟡 HOLD
      BBL 191.50 192.92  11614100  10768940   2.4938  3.9062  -63.89 🔴 SELL
      BCH  10.30  10.27   3648900   4231580   0.1431  0.1895  -38.63 🟡 HOLD
      BCP  44.75  42.90  16339200   8555760   2.6089  2.5112   45.07  🟢 BUY
     BCPG   7.10   7.28   7676200   5547840   0.0526  0.0976 -140.07 🔴 SELL
     BDMS  19.20  19.19  53997900  28411500   0.0292  0.1118  -32.28 🟡 HOLD
      BEM   6.75   6.59  41754600  19049980   0.2291  0.2372   71.50 🟡 HOLD
    BGRIM  18.80  19.09  25873400  16033580   0.5894  0.8039 -100.46 🔴 SELL
       BH 187.50 184.38   5487700   3367740   0.0315 -0.0810  148.15  🟢 BUY
      BJC  16.20  15.56  11461800  11486780   0.4396  0.3058   94.10 🟡 HOLD
      BLA  26.00  25.94   2352700   1113940   0.1872  0.4271  -59.88 🟡 HOLD
      BTS   2.14   2.10 203103800  54238600  -0.0057  0.0019   13.33 🟡 HOLD
      BYD   0.46   0.47   1539200   1602460  -0.0074 -0.0064  -96.77 🔴 SELL
