SYMBOL,TREND,SCORE,CLOSE,ATR14,STOP_LOSS,TAKE_PROFIT
BBGI,UPTREND,100,5.4,0.0965,5.21,5.79
GUNKUL,UPTREND,100,5.15,0.0619,5.03,5.4
KCE,UPTREND,100,44.5,0.5487,43.4,46.69
MTC,UPTREND,100,35.25,0.3802,34.49,36.77
HANA,UPTREND,95,37.25,0.5319,36.19,39.38
CPALL,UPTREND,95,49.5,0.418,48.66,51.17
RATCH,UPTREND,95,38.5,0.3321,37.84,39.83
TIDLOR,UPTREND,95,19.6,0.1452,19.31,20.18
TISCO,UPTREND,95,130.5,0.6584,129.18,133.13
PSL,UPTREND,95,9.0,0.1146,8.77,9.46
AIT,SIDEWAY,90,4.96,0.019,4.92,5.04
LANNA,UPTREND,90,15.0,0.0981,14.8,15.39
TCAP,UPTREND,85,86.75,0.6414,85.47,89.32
TU,UPTREND,85,13.2,0.1327,12.93,13.73
BH,UPTREND,85,190.0,1.0705,187.86,194.28
KTC,UPTREND,85,39.25,0.3301,38.59,40.57
KBANK,UPTREND,85,247.0,1.5883,243.82,253.35
MBK,UPTREND,80,23.9,0.182,23.54,24.63
PTT,SIDEWAY,75,38.0,0.3548,37.29,39.42
CPN,UPTREND,75,69.25,0.4369,68.38,71.0
KTB,UPTREND,75,45.0,0.3716,44.26,46.49
RCL,UPTREND,75,35.5,0.3042,34.89,36.72
AP,SIDEWAY,70,8.25,0.0765,8.1,8.56
SCC,UPTREND,60,261.0,1.7811,257.44,268.12
GLOBAL,UPTREND,60,7.9,0.0983,7.7,8.29
BBL,SIDEWAY,55,193.0,0.793,191.41,196.17
IRPC,UPTREND,55,2.26,0.0326,2.19,2.39
MASTER,SIDEWAY,55,9.3,0.0678,9.16,9.57
PLANB,SIDEWAY,55,6.05,0.0736,5.9,6.34
COM7,DOWNTREND,50,30.25,0.3223,29.61,31.54
TPIPP,SIDEWAY,50,1.82,0.0124,1.8,1.87
SAWAD,UPTREND,50,25.25,0.2624,24.73,26.3
KKP,SIDEWAY,50,113.5,1.0272,111.45,117.61
CRC,SIDEWAY,45,26.5,0.3822,25.74,28.03
TLI,SIDEWAY,45,11.8,0.1176,11.56,12.27
STGT,SIDEWAY,45,10.7,0.1117,10.48,11.15
BDMS,SIDEWAY,40,19.6,0.1517,19.3,20.21
FORTH,SIDEWAY,40,17.4,0.2878,16.82,18.55
TTB,SIDEWAY,40,3.1,0.0322,3.04,3.23
CK,SIDEWAY,35,18.2,0.1266,17.95,18.71
BCH,SIDEWAY,35,10.9,0.1472,10.61,11.49
EGCO,SIDEWAY,35,133.0,0.7745,131.45,136.1
JMT,SIDEWAY,35,12.3,0.1261,12.05,12.8
BAY,SIDEWAY,35,42.0,0.3298,41.34,43.32
LH,SIDEWAY,30,3.8,0.0283,3.74,3.91
HMPRO,SIDEWAY,25,6.65,0.0709,6.51,6.93
JMART,SIDEWAY,25,11.2,0.1509,10.9,11.8
SCB,SIDEWAY,25,153.5,0.7455,152.01,156.48
CENTEL,SIDEWAY,20,38.5,0.3323,37.84,39.83
SCGP,SIDEWAY,15,31.0,0.4438,30.11,32.78
QH,SIDEWAY,15,1.45,0.0107,1.43,1.49
BJC,SIDEWAY,15,16.1,0.1559,15.79,16.72
EKH,SIDEWAY,15,5.05,0.0306,4.99,5.17
OSP,SIDEWAY,15,17.5,0.1622,17.18,18.15
GPSC,SIDEWAY,15,51.75,0.4844,50.78,53.69
AWC,SIDEWAY,15,3.0,0.0283,2.94,3.11
BCPG,DOWNTREND,10,7.15,0.0561,7.04,7.37
BCP,SIDEWAY,10,44.25,0.4208,43.41,45.93
THG,SIDEWAY,10,7.5,0.0553,7.39,7.72
TPIPL,SIDEWAY,10,0.89,0.0126,0.86,0.94
RBF,SIDEWAY,10,5.05,0.0492,4.95,5.25
TIPH,SIDEWAY,10,23.5,0.0919,23.32,23.87
MEGA,SIDEWAY,10,38.25,0.304,37.64,39.47
SNNP,SIDEWAY,5,7.1,0.0434,7.01,7.27
ADVANC,DOWNTREND,0,369.0,1.4837,366.03,374.93
BGRIM,DOWNTREND,0,18.5,0.1739,18.15,19.2
BTS,DOWNTREND,0,2.08,0.0223,2.04,2.17
AAI,DOWNTREND,0,3.98,0.0242,3.93,4.08
AOT,DOWNTREND,0,63.5,0.366,62.77,64.96
AMATA,DOWNTREND,0,28.0,0.299,27.4,29.2
GULF,DOWNTREND,0,66.25,0.418,65.41,67.92
DELTA,DOWNTREND,0,266.0,2.4948,261.01,275.98
EA,DOWNTREND,0,2.88,0.0269,2.83,2.99
CPF,DOWNTREND,0,21.8,0.162,21.48,22.45
CKP,DOWNTREND,0,2.48,0.0204,2.44,2.56
CHG,DOWNTREND,0,1.54,0.0139,1.51,1.6
BYD,SIDEWAY,0,0.46,0.0066,0.45,0.49
CBG,DOWNTREND,0,50.5,0.4596,49.58,52.34
BLA,DOWNTREND,0,25.25,0.272,24.71,26.34
BAM,DOWNTREND,0,6.8,0.0499,6.7,7.0
BEM,DOWNTREND,0,6.7,0.0552,6.59,6.92
M,DOWNTREND,0,21.4,0.1061,21.19,21.82
IVL,DOWNTREND,0,21.9,0.1551,21.59,22.52
JAS,DOWNTREND,0,1.06,0.0107,1.04,1.1
OR,DOWNTREND,0,12.6,0.1106,12.38,13.04
ORI,DOWNTREND,0,2.0,0.0225,1.95,2.09
PTTGC,SIDEWAY,0,36.75,0.3565,36.04,38.18
PTTEP,DOWNTREND,0,146.0,0.8616,144.28,149.45
PRM,DOWNTREND,0,9.95,0.0824,9.79,10.28
PTG,DOWNTREND,0,7.35,0.0543,7.24,7.57
MINT,DOWNTREND,0,23.2,0.185,22.83,23.94
NEX,SIDEWAY,0,1.01,0.0097,0.99,1.05
