=== SETTRADE SCANNER FULL REPORT ===
Date/Time: 05/08/2026 18:49:46
--------------------------------------------------
Symbol     | Price  | Change%  | Value 5D   | Status         
--------------------------------------------------
AAI        |   3.98 |   -1.00% |    17.93M | [HOLD (1/4)]
ADVANC     | 369.00 |   -1.34% |  2342.25M | [HOLD (1/4)]
AMATA      |  28.25 |   +1.80% |   227.73M | [HOLD (3/4)]
AOT        |  63.00 |   -1.56% |  1015.19M | [HOLD (1/4)]
AP         |   8.25 |   +0.00% |    76.48M | [HOLD (3/4)]
AWC        |   3.00 |   -1.32% |   155.74M | [HOLD (3/4)]
BAM        |   6.80 |   -0.73% |    55.13M | [HOLD (1/4)]
BBGI       |   5.35 |   +4.90% |    22.09M | [HOLD (2/4)]
BBL        | 192.50 |   -0.26% |  1767.35M | [HOLD (3/4)]
BCH        |  10.90 |   -0.91% |   154.18M | [HOLD (4/4)]
BCP        |  44.25 |   -0.56% |   518.22M | [HOLD (1/4)]
BCPG       |   7.15 |   +0.00% |    31.82M | [HOLD (1/4)]
BDMS       |  19.60 |   +0.51% |  1095.46M | [HOLD (3/4)]
BEM        |   6.75 |   +0.00% |   115.36M | [HOLD (3/4)]
BGRIM      |  18.50 |   -0.54% |   351.61M | [HOLD (1/4)]
BH         | 189.50 |   +0.80% |   691.57M | 🔥 [BUY SIGNAL (4/4)]
BJC        |  16.10 |   -1.83% |   127.67M | [HOLD (2/4)]
BLA        |  25.50 |   -1.92% |    33.97M | [HOLD (2/4)]
BTS        |   2.08 |   +0.00% |   155.93M | [HOLD (2/4)]
BYD        |   0.46 |   +0.00% |     1.10M | [HOLD (2/4)]
CBG        |  50.50 |   -3.81% |   282.67M | [HOLD (1/4)]
CENTEL     |  38.75 |   -1.27% |   149.24M | [HOLD (3/4)]
CHG        |   1.54 |   -1.28% |    48.68M | [HOLD (2/4)]
CK         |  18.20 |   +0.55% |    80.70M | [HOLD (3/4)]
CKP        |   2.50 |   -1.57% |     9.93M | [HOLD (1/4)]
COM7       |  30.00 |   -0.83% |   182.29M | [HOLD (1/4)]
CPALL      |  49.25 |   +1.03% |  2217.74M | 🔥 [BUY SIGNAL (4/4)]
CPF        |  21.70 |   -3.56% |   463.95M | [HOLD (2/4)]
CPN        |  69.25 |   +0.73% |   438.21M | 🔥 [BUY SIGNAL (4/4)]
CRC        |  26.50 |   +0.00% |   508.50M | [HOLD (4/4)]
DELTA      | 265.00 |   -0.75% |  3770.89M | [HOLD (1/4)]
EA         |   2.90 |   -0.68% |    59.77M | [HOLD (1/4)]
EGCO       | 132.00 |   +0.00% |   182.10M | [HOLD (1/4)]
EKH        |   5.05 |   +1.00% |     0.61M | [HOLD (3/4)]
FORTH      |  17.30 |   +1.17% |   218.50M | [HOLD (2/4)]
GLOBAL     |   7.90 |   -1.25% |   261.70M | [HOLD (4/4)]
GPSC       |  51.75 |   -0.96% |   502.70M | [HOLD (1/4)]
GULF       |  66.50 |   +0.00% |  2598.50M | [HOLD (2/4)]
GUNKUL     |   5.10 |   +0.99% |   193.90M | [HOLD (2/4)]
HANA       |  36.75 |   +3.52% |   964.22M | [HOLD (1/4)]
HMPRO      |   6.70 |   +0.00% |   381.88M | [HOLD (4/4)]
IRPC       |   2.28 |   +0.00% |   212.30M | [HOLD (2/4)]
IVL        |  21.90 |   -0.45% |   474.86M | [HOLD (1/4)]
JAS        |   1.07 |   +0.00% |     9.63M | [HOLD (2/4)]
JMART      |  11.10 |   -3.48% |   143.42M | [HOLD (1/4)]
JMT        |  12.30 |   -0.81% |    95.92M | [HOLD (4/4)]
KBANK      | 247.00 |   +0.00% |  2241.30M | [HOLD (3/4)]
KCE        |  44.75 |   +4.07% |  1189.19M | 🔥 [BUY SIGNAL (4/4)]
KKP        | 113.50 |   +0.44% |  1149.06M | [HOLD (2/4)]
KTB        |  44.75 |   +1.13% |  3282.24M | [HOLD (3/4)]
KTC        |  39.00 |   +0.65% |   781.36M | [HOLD (3/4)]
LH         |   3.78 |   -1.05% |    93.10M | [HOLD (3/4)]
M          |  21.40 |   +0.00% |    13.13M | [HOLD (2/4)]
MASTER     |   9.25 |   +0.00% |     5.52M | [HOLD (4/4)]
MBK        |  23.90 |   +3.46% |    55.46M | 🔥 [BUY SIGNAL (4/4)]
MEGA       |  38.50 |   -0.65% |    38.52M | [HOLD (3/4)]
MINT       |  23.30 |   -1.69% |   796.21M | [HOLD (3/4)]
MTC        |  35.25 |   +1.44% |   359.11M | [HOLD (3/4)]
NEX        |   1.00 |   +0.00% |     3.64M | [HOLD (1/4)]
OR         |  12.60 |   -1.56% |   157.14M | [HOLD (1/4)]
ORI        |   2.02 |   -0.98% |     6.07M | [HOLD (1/4)]
OSP        |  17.40 |   -1.14% |   145.34M | [HOLD (2/4)]
PLANB      |   6.05 |   +0.83% |    61.29M | [HOLD (2/4)]
PRM        |   9.90 |   -0.50% |    58.99M | [HOLD (1/4)]
PSL        |   9.00 |   +5.26% |    95.17M | [HOLD (2/4)]
PTG        |   7.40 |   -1.33% |    24.20M | [HOLD (1/4)]
PTT        |  38.25 |   +0.66% |  3827.75M | [HOLD (1/4)]
PTTEP      | 146.50 |   -1.68% |  3084.98M | [HOLD (1/4)]
PTTGC      |  37.00 |   -0.67% |   870.58M | [HOLD (1/4)]
QH         |   1.44 |   -0.69% |    24.80M | [HOLD (4/4)]
RATCH      |  38.50 |   +0.00% |   192.93M | [HOLD (1/4)]
RBF        |   5.10 |   -0.97% |     7.23M | [HOLD (4/4)]
RCL        |  35.50 |   +1.43% |   132.16M | 🔥 [BUY SIGNAL (4/4)]
SAWAD      |  25.25 |   -0.98% |   283.18M | [HOLD (3/4)]
SCB        | 153.50 |   -0.32% |  1374.50M | [HOLD (2/4)]
SCC        | 262.00 |   -0.76% |  1132.99M | [HOLD (3/4)]
SCGP       |  31.00 |   -3.13% |   336.48M | [HOLD (2/4)]
SNNP       |   7.10 |   +0.00% |     3.34M | [HOLD (2/4)]
SPALI      |  15.90 |   +0.00% |    69.38M | [HOLD (1/4)]
SPRC       |  10.50 |   -2.78% |   246.70M | [HOLD (1/4)]
STA        |  18.40 |   -1.08% |   101.56M | [HOLD (1/4)]
STGT       |  10.60 |   -1.85% |    22.74M | [HOLD (2/4)]
TCAP       |  86.50 |   +0.87% |  1005.17M | 🔥 [BUY SIGNAL (4/4)]
THG        |   7.50 |   +0.00% |    10.20M | [HOLD (3/4)]
TIDLOR     |  19.40 |   +0.00% |   240.83M | [HOLD (4/4)]
TIPH       |  23.70 |   +0.42% |     5.69M | [HOLD (3/4)]
TISCO      | 130.00 |   +0.00% |   474.06M | [HOLD (3/4)]
TLI        |  11.80 |   +0.00% |   163.35M | [HOLD (3/4)]
TOP        |  63.00 |   -3.08% |   968.98M | [HOLD (1/4)]
TPIPL      |   0.89 |   -1.11% |    39.08M | [HOLD (2/4)]
TPIPP      |   1.83 |   +1.10% |     5.19M | [HOLD (3/4)]
TRUE       |  13.30 |   -3.62% |  3534.10M | [HOLD (1/4)]
TTB        |   3.10 |   +0.65% |  1171.20M | [HOLD (2/4)]
TU         |  13.20 |   +0.00% |   325.06M | [HOLD (4/4)]
WHA        |   4.82 |   -2.03% |   795.20M | [HOLD (1/4)]
TFG        |   9.60 |   +0.52% |   115.87M | [HOLD (2/4)]
AAV        |   1.06 |   +0.95% |    16.64M | [HOLD (3/4)]
ITEL       |   1.70 |   -1.16% |     5.94M | [HOLD (2/4)]
THCOM      |  10.70 |   +0.00% |    21.52M | [HOLD (1/4)]
AIT        |   4.96 |   +0.00% |     3.43M | [HOLD (3/4)]
LANNA      |  14.90 |   +1.36% |     5.99M | 🔥 [BUY SIGNAL (4/4)]
BAY        |  42.25 |   -0.59% |   100.81M | [HOLD (2/4)]
SPI        |  32.25 |   -0.77% |     0.20M | [HOLD (1/4)]
SPCG       |   9.45 |   +0.00% |     9.69M | [HOLD (4/4)]
AKR        |   0.90 |   -1.10% |     1.54M | [HOLD (3/4)]
