📊 รายงานผลการสแกนหุ้น SET100 (2026-07-30 14:45)
สรุปสัญญาณวันนี้: ซื้อ 19 | ขาย 62 | ถือ 30
=======================================================
Symbol  Price  EMA20    Volume    VolMA5     MACD  Signal     CCI Status
   AAI   3.94   3.92   4654626   2514585   0.0535  0.0673  -68.01 🟡 HOLD
ADVANC 378.00 373.98   8175382   3571676   2.9062  3.8472  -29.46 🟡 HOLD
 AMATA  27.00  27.45   7081028   8101225   0.2977  0.5233 -101.57 🔴 SELL
   AOT  63.50  63.16  29726178  26181395   0.8206  1.0694   15.23 🟡 HOLD
    AP   8.05   7.85   9628561   4280212   0.1575  0.1498   56.50  🟢 BUY
   AWC   3.02   2.79  95538476  81653415   0.1104  0.0880  127.87  🟢 BUY
   BAM   6.80   6.85  18036412  13490142   0.0662  0.0759  -51.70 🔴 SELL
  BBGI   4.94   4.76   1937702   1515380   0.2206  0.2216   18.03 🔴 SELL
   BBL 190.00 191.91  12125593  13311658   2.7705  4.2434  -70.31 🔴 SELL
   BCH  10.10  10.19   6403145   4052169   0.1449  0.1995  -57.93 🔴 SELL
   BCP  44.00  41.33  11696133   8364706   2.6327  2.4788   48.20  🟢 BUY
  BCPG   7.10   7.28  10126945   4689009   0.0755  0.1089 -156.42 🔴 SELL
  BDMS  19.00  19.19  45621533  36483126   0.0297  0.1325 -102.73 🔴 SELL
   BEM   6.60   6.46  20131335  14721947   0.2268  0.2376   15.33 🔴 SELL
 BGRIM  18.70  18.85  23688617  14011523   0.6634  0.8560  -98.99 🔴 SELL
    BH 186.50 184.11   5390668   2622873  -0.2860 -0.1091   72.51 🟡 HOLD
   BJC  16.00  15.24  12491974  13112694   0.3943  0.2676  116.67 🟡 HOLD
   BLA  24.80  25.83   1615436    852387   0.1582  0.4800 -136.45 🔴 SELL
   BPP  12.00  11.82         0         0   0.1579  0.1459   49.32 🟡 HOLD
   BTS   2.08   2.11  14981413  24578842  -0.0084  0.0041  -74.78 🔴 SELL
   BYD   0.45   0.47   4733484   1492156  -0.0082 -0.0063 -166.07 🔴 SELL
   CBG  50.50  49.74   2733686   3484737   1.5126  1.8854  -45.86 🟡 HOLD
CENTEL  38.75  37.26   4839932   3167486   0.6850  0.6332  111.43  🟢 BUY
   CHG   1.55   1.56  18681101   9358460  -0.0003  0.0118  -45.98 🔴 SELL
    CK  17.90  18.62   5229808   5315921  -0.2646 -0.1385 -136.19 🔴 SELL
   CKP   2.52   2.55   6061885   3220357   0.0319  0.0491 -112.37 🔴 SELL
  COM7  30.00  29.56   9493403   7788040   0.7690  0.7956   62.96 🔴 SELL
 CPALL  46.75  46.72  23410683  11195156   0.0468  0.1278  -34.15 🟡 HOLD
   CPF  21.90  21.61  16962015  10729403   0.4719  0.5871  -66.67 🟡 HOLD
   CPN  67.00  66.93   4582571   5570954   0.2767  0.3418    1.08 🟡 HOLD
   CRC  24.30  23.47  17784195  11065439   0.4069  0.3815  130.68  🟢 BUY
 DELTA 264.00 300.61  27049062  13111832 -11.3896 -8.5528 -196.95 🔴 SELL
    EA   2.86   3.00  40300820  21353404  -0.0285 -0.0069 -131.96 🔴 SELL
  EGCO 132.50 129.83   1119676    711895   3.8609  3.8209   28.53  🟢 BUY
   EKH   5.00   5.02    247531    154946   0.0102  0.0143 -111.11 🔴 SELL
 FORTH  15.70  15.92   8918775   6821395   0.4012  0.3873   -1.85 🔴 SELL
GLOBAL   7.30   7.19   9303097   8484179   0.0954  0.1237  -28.25 🟡 HOLD
  GPSC  52.00  51.24   8028642   6230088   2.5265  2.7516  -11.24 🟡 HOLD
  GULF  65.25  64.80  49351731  27051906   0.8106  0.8697   11.78 🟡 HOLD
GUNKUL   4.94   4.92 101578717  43703723   0.2469  0.2972  -66.67 🟡 HOLD
  HANA  33.00  37.19  47265394  15502978  -0.1680  0.2433 -291.23 🔴 SELL
 HMPRO   6.40   6.50  48502533  28986906   0.0467  0.0768 -172.46 🔴 SELL
  IRPC   2.10   2.06 102357218  77702003   0.0915  0.0896   -0.47  🟢 BUY
   IVL  21.90  23.73  69870997  25377219   0.2521  0.4232 -183.58 🔴 SELL
   JAS   1.07   1.11  17847576  10015655  -0.0149 -0.0117 -160.92 🔴 SELL
