=== SETTRADE SCANNER FULL REPORT ===
Date/Time: 30/07/2026 14:43:49
--------------------------------------------------
Symbol     | Price  | Change%  | Value 5D   | Status         
--------------------------------------------------
AAI        |   3.94 |   -0.51% |    25.39M | [HOLD (1/4)]
ADVANC     | 377.00 |   +1.07% |  1909.72M | [HOLD (2/4)]
AMATA      |  27.00 |   +0.00% |   312.59M | [HOLD (1/4)]
AOT        |  63.50 |   -0.78% |  2424.44M | [HOLD (3/4)]
AP         |   8.10 |   +0.62% |    53.31M | [HOLD (2/4)]
AWC        |   3.04 |   +1.33% |   319.29M | [HOLD (3/4)]
BAM        |   6.85 |   -2.14% |   109.40M | [HOLD (1/4)]
BANPUU     |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
BBGI       |   4.96 |   +0.40% |    14.50M | [HOLD (1/4)]
BBL        | 189.50 |   -2.32% |  3656.65M | [HOLD (1/4)]
BCH        |  10.00 |   -2.91% |    90.15M | [HOLD (1/4)]
BCP        |  44.00 |   -0.56% |   554.64M | [HOLD (1/4)]
BCPG       |   7.05 |   -4.08% |    49.56M | [HOLD (1/4)]
BDMS       |  19.00 |   +0.00% |   992.98M | [HOLD (1/4)]
BEM        |   6.60 |   -1.49% |   158.79M | [HOLD (1/4)]
BGRIM      |  18.80 |   -3.09% |   422.76M | [HOLD (1/4)]
BH         | 186.00 |   +1.64% |   590.74M | [HOLD (2/4)]
BJC        |  16.10 |   -0.62% |   226.42M | [HOLD (4/4)]
BLA        |  24.90 |   -2.35% |    30.45M | [HOLD (1/4)]
BPP        |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
BTS        |   2.08 |   +0.97% |    70.09M | [HOLD (1/4)]
BYD        |   0.45 |   -2.17% |     0.87M | [HOLD (1/4)]
CBG        |  50.75 |   -0.98% |   267.16M | [HOLD (3/4)]
CENTEL     |  38.50 |   +0.65% |   168.47M | [HOLD (3/4)]
CHG        |   1.54 |   +0.65% |    20.62M | [HOLD (1/4)]
CK         |  17.90 |   -1.10% |   140.46M | [HOLD (1/4)]
CKP        |   2.52 |   -1.56% |    15.66M | [HOLD (1/4)]
COM7       |  30.00 |   -2.44% |   291.47M | [HOLD (2/4)]
CPALL      |  47.00 |   +1.08% |   674.98M | [HOLD (2/4)]
CPF        |  21.90 |   +0.00% |   380.41M | [HOLD (1/4)]
CPN        |  67.00 |   -1.11% |   462.40M | [HOLD (2/4)]
CRC        |  24.70 |   +2.49% |   363.37M | 🔥 [BUY SIGNAL (4/4)]
DELTA      | 264.00 |   -7.37% |  5013.44M | [HOLD (1/4)]
EA         |   2.88 |   -1.37% |   102.66M | [HOLD (1/4)]
EGCO       | 133.00 |   -1.12% |   143.66M | [HOLD (1/4)]
EKH        |   5.00 |   -0.99% |     1.43M | [HOLD (1/4)]
FORTH      |  15.80 |   -5.39% |   202.43M | [HOLD (2/4)]
GLOBAL     |   7.35 |   +1.38% |    89.03M | [HOLD (2/4)]
GPSC       |  52.25 |   -3.24% |   505.08M | [HOLD (1/4)]
GULF       |  65.50 |   +0.38% |  2699.19M | [HOLD (1/4)]
GUNKUL     |   4.96 |   -2.75% |   319.49M | [HOLD (1/4)]
HANA       |  33.50 |  -10.07% |   774.78M | [HOLD (1/4)]
HMPRO      |   6.40 |   -2.29% |   234.60M | [HOLD (1/4)]
IRPC       |   2.06 |   -4.63% |   269.29M | [HOLD (1/4)]
IVL        |  21.90 |   -9.13% |   847.79M | [HOLD (1/4)]
JAS        |   1.07 |   -1.83% |    13.45M | [HOLD (1/4)]
JMART      |  10.80 |   -3.57% |   123.89M | [HOLD (1/4)]
JMT        |  11.70 |   -3.31% |    97.87M | [HOLD (1/4)]
KBANK      | 241.00 |   -0.41% |  3636.66M | [HOLD (3/4)]
KCE        |  37.25 |  -10.24% |   515.95M | [HOLD (1/4)]
KKP        | 111.00 |   -7.50% |  1478.74M | [HOLD (1/4)]
KTB        |  42.75 |   -1.72% |  3476.01M | [HOLD (2/4)]
KTC        |  38.50 |   +0.00% |  1020.67M | [HOLD (1/4)]
LH         |   3.76 |   -0.53% |    54.18M | [HOLD (1/4)]
M          |  21.30 |   +0.00% |    20.65M | [HOLD (1/4)]
MASTER     |   8.80 |   +0.00% |     2.82M | [HOLD (1/4)]
MBK        |  21.70 |   +0.46% |    26.80M | [HOLD (2/4)]
MEGA       |  37.50 |   +0.00% |    21.07M | [HOLD (1/4)]
MINT       |  23.10 |   +0.43% |  1156.06M | [HOLD (1/4)]
MTC        |  33.00 |   -3.65% |   394.73M | [HOLD (1/4)]
NEX        |   1.00 |   +0.00% |     7.25M | [HOLD (1/4)]
OR         |  12.70 |   -0.78% |   228.43M | [HOLD (1/4)]
ORI        |   1.96 |   -2.97% |     3.11M | [HOLD (1/4)]
OSP        |  17.30 |   -0.57% |   112.66M | [HOLD (1/4)]
PLANB      |   6.15 |   +0.82% |   225.75M | [HOLD (3/4)]
PRM        |   9.90 |   +0.00% |    72.30M | [HOLD (3/4)]
PSL        |   8.00 |   -1.84% |    27.98M | [HOLD (2/4)]
PTG        |   7.45 |   -1.32% |    17.15M | [HOLD (1/4)]
PTT        |  38.75 |   -0.64% |  3037.39M | [HOLD (1/4)]
PTTEP      | 149.00 |   -0.67% |  2804.51M | [HOLD (2/4)]
PTTGC      |  37.00 |   -3.90% |  1593.96M | [HOLD (1/4)]
QH         |   1.41 |   +1.44% |    16.16M | [HOLD (2/4)]
RATCH      |  38.00 |   -1.94% |   184.91M | [HOLD (1/4)]
RBF        |   4.90 |   -1.21% |     7.94M | [HOLD (2/4)]
RCL        |  34.00 |   +0.00% |    92.14M | [HOLD (3/4)]
SAWAD      |  24.40 |   -2.40% |   388.90M | [HOLD (1/4)]
SCB        | 152.00 |   -1.62% |  3148.72M | [HOLD (2/4)]
SCC        | 254.00 |   +0.00% |  1542.85M | [HOLD (2/4)]
SCGP       |  29.50 |   -0.84% |   259.91M | [HOLD (1/4)]
SNNP       |   7.00 |   -1.41% |     2.10M | [HOLD (1/4)]
SPALI      |  16.00 |   +0.00% |    42.97M | [HOLD (3/4)]
SPRC       |  10.60 |   -0.93% |   416.15M | [HOLD (3/4)]
STA        |  18.20 |   -2.67% |   217.42M | [HOLD (2/4)]
STGT       |  10.20 |   -1.92% |    12.21M | [HOLD (1/4)]
TCAP       |  71.00 |   -3.73% |   380.19M | [HOLD (1/4)]
THG        |   7.40 |   +0.00% |     4.73M | [HOLD (2/4)]
TIDLOR     |  18.70 |   -2.09% |   290.56M | [HOLD (1/4)]
TIPH       |  23.20 |   -1.28% |     6.54M | [HOLD (1/4)]
TISCO      | 126.00 |   -2.33% |   404.91M | [HOLD (1/4)]
TLI        |  11.50 |   -1.71% |   110.40M | [HOLD (1/4)]
TOP        |  64.00 |   +0.00% |  1090.49M | [HOLD (2/4)]
TPIPL      |   0.88 |   -3.30% |    52.36M | [HOLD (3/4)]
TPIPP      |   1.80 |   -1.10% |     5.48M | [HOLD (1/4)]
TRUE       |  14.40 |   +3.60% |  2604.58M | [HOLD (3/4)]
TTB        |   3.00 |   -2.60% |  1420.86M | [HOLD (2/4)]
TU         |  12.20 |   +0.00% |   226.44M | [HOLD (4/4)]
WHA        |   4.78 |   -2.45% |   852.82M | [HOLD (1/4)]
TFG        |   9.80 |   -2.00% |   103.28M | [HOLD (1/4)]
AAV        |   1.05 |   -0.94% |    26.38M | [HOLD (3/4)]
ITEL       |   1.61 |   -4.73% |     6.47M | [HOLD (1/4)]
THCOM      |  10.80 |   +0.00% |    32.95M | [HOLD (1/4)]
AIT        |   4.90 |   +0.41% |     2.68M | [HOLD (3/4)]
LANNA      |  14.50 |   -0.68% |     2.44M | [HOLD (1/4)]
BAY        |  39.75 |   -4.22% |   103.03M | [HOLD (2/4)]
SPI        |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
SPCG       |   9.15 |   -0.54% |     4.36M | [HOLD (1/4)]
AKR        |   0.90 |   +0.00% |     0.63M | [HOLD (2/4)]
NSL        |  22.70 |   +0.00% |     4.73M | [HOLD (1/4)]
MOSHI      |  40.50 |   +1.89% |    12.44M | 🔥 [BUY SIGNAL (4/4)]
CMR        |   1.25 |   +0.00% |     0.08M | [HOLD (1/4)]
META80     |   2.28 |   -9.52% |    25.29M | [HOLD (1/4)]
AMD80      |   2.90 |  -19.44% |    77.08M | [HOLD (1/4)]
MSFT80     |   7.00 |   +7.69% |    21.17M | [HOLD (3/4)]
GOOG80     |   5.65 |   +3.67% |   113.84M | [HOLD (1/4)]
AVGO80     |   2.50 |   -4.58% |     8.83M | [HOLD (2/4)]
MICRON80   |  24.30 |  -23.46% |    24.66M | [HOLD (1/4)]
TSLA80     |   2.02 |   -4.72% |    52.10M | [HOLD (1/4)]
AMZN80     |   1.94 |   -1.52% |    10.87M | [HOLD (1/4)]
PEP80      |   0.97 |   +4.30% |     1.46M | [HOLD (4/4)]
MRVL80     |   5.45 |  -19.26% |    14.75M | [HOLD (1/4)]
NOVOB80    |   1.73 |   +4.85% |     3.46M | [HOLD (2/4)]
SP500US80  |   2.90 |   -2.03% |     1.59M | [HOLD (1/4)]
KO80       |   3.00 |   +7.91% |     0.73M | [HOLD (4/4)]
SBUX80     |   1.82 |   +4.00% |     0.04M | [HOLD (2/4)]
SONY80     |   3.88 |   +6.01% |     1.37M | [HOLD (3/4)]
SINGTEL80  |  12.00 |   +3.45% |     0.97M | [HOLD (3/4)]
JD80       |   5.50 |   +8.91% |     4.85M | [HOLD (3/4)]
NIKE80     |   0.72 |   +1.41% |     0.60M | [HOLD (2/4)]
PFIZER19   |  16.90 |   +1.81% |     1.56M | [HOLD (3/4)]
VNM19      |   7.85 |   +2.61% |     3.14M | [HOLD (3/4)]
THAIBEV19  |  11.90 |   +0.85% |     0.24M | [HOLD (2/4)]
DBS19      |  19.60 |   +1.03% |     2.05M | [HOLD (3/4)]
UOB19      |  11.40 |   +0.88% |     0.04M | [HOLD (3/4)]
SPFIN80    |  19.10 |   +0.00% |     0.03M | [HOLD (2/4)]
SPCOM80    |   3.66 |   +1.10% |     0.02M | [HOLD (1/4)]
HK01       |  22.60 |   +2.73% |     0.63M | [HOLD (3/4)]
SPBOND80   |   8.50 |   +0.00% |     0.12M | [HOLD (1/4)]
SMIC23     |   3.16 |  -12.22% |    13.32M | [HOLD (1/4)]
HUAHONG23  |   7.70 |  -14.44% |    26.19M | [HOLD (1/4)]
