📊 รายงานผลการสแกนหุ้น SET100 (2026-07-31 17:45)
สรุปสัญญาณวันนี้: ซื้อ 35 | ขาย 50 | ถือ 56
=======================================================
   Symbol  Price  EMA14    Volume    VolMA5     MACD  Signal     CCI Status
      AAI   4.06   3.96  11751863   4005092   0.0585  0.0656  154.93 🟡 HOLD
   ADVANC 380.00 375.85   8489031   4997166   3.0504  3.6879   66.67 🟡 HOLD
    AMATA  29.00  27.80  22627779  10820415   0.4214  0.5093   53.47 🟡 HOLD
      AOT  63.75  63.51  21442821  21668244   0.7767  1.0109   14.33 🟡 HOLD
       AP   8.30   7.99  17903866   8403133   0.1798  0.1571  118.64  🟢 BUY
      AWC   2.96   2.86  95919010  91143402   0.1117  0.0930   95.79  🟢 BUY
      BAM   6.90   6.90  16217019  16674183   0.0715  0.0769  -14.96 🟡 HOLD
     BBGI   5.05   4.88   1399542   1067108   0.2143  0.2197   26.09 🟡 HOLD
      BBL 191.50 192.92  13204938  11087107   2.4938  3.9062  -63.89 🔴 SELL
      BCH  10.30  10.27   3672280   4236256   0.1431  0.1895  -38.63 🟡 HOLD
      BCP  44.75  42.90  18753129   9038545   2.6089  2.5112   45.07  🟢 BUY
     BCPG   7.10   7.28   7695289   5551657   0.0526  0.0976 -140.07 🔴 SELL
     BDMS  19.20  19.19  64722374  30556394   0.0292  0.1118  -40.55 🟡 HOLD
      BEM   6.75   6.59  43552964  19409652   0.2291  0.2372   71.50 🟡 HOLD
    BGRIM  18.80  19.09  27263350  16311570   0.5894  0.8039 -100.46 🔴 SELL
       BH 187.50 184.38   5501846   3370569   0.0315 -0.0810  148.15  🟢 BUY
      BJC  16.20  15.56  11730150  11540450   0.4396  0.3058   94.10  🟢 BUY
      BLA  26.00  25.94   2396633   1122726   0.1872  0.4271  -59.88 🟡 HOLD
      BTS   2.14   2.10 213936534  56405146  -0.0057  0.0019   13.33 🟡 HOLD
      BYD   0.46   0.47   1825901   1659800  -0.0074 -0.0064  -96.77 🔴 SELL
      CBG  51.25  50.51   4310217   3170183   1.4739  1.8063   25.23 🟡 HOLD
   CENTEL  38.50  37.68   4448670   3467474   0.7020  0.6470   99.70  🟢 BUY
      CHG   1.59   1.56  48206279  18721795   0.0028  0.0100   11.38 🟡 HOLD
       CK  18.30  18.47   6515309   5065301  -0.2488 -0.1592  -41.28 🔴 SELL
      CKP   2.58   2.57   4062142   3244608   0.0321  0.0459  -50.79 🟡 HOLD
     COM7  30.50  30.03  10806785   9613437   0.7826  0.7994   74.07 🔴 SELL
